iter	Passed	Remaining
0	60	60093
1	60	30277
2	60	20263
3	61	15256
4	61	12273
5	62	10305
6	62	8863
7	62	7795
8	63	6965
9	63	6309
10	64	5770
11	64	5313
12	65	4938
13	65	4611
14	65	4324
15	66	4086
16	66	3864
17	67	3665
18	67	3493
19	67	3328
20	68	3183
21	68	3051
22	69	2931
23	69	2819
24	69	2717
25	69	2621
26	70	2533
27	70	2453
28	71	2382
29	71	2311
30	71	2243
31	72	2179
32	72	2119
33	72	2063
34	72	2011
35	73	1962
36	73	1916
37	73	1871
38	74	1828
39	74	1789
40	74	1751
41	75	1716
42	75	1683
43	75	1650
44	76	1619
45	76	1588
46	76	1559
47	77	1531
48	77	1505
49	77	1479
50	78	1458
51	78	1436
52	79	1414
53	79	1391
54	79	1369
55	80	1349
56	80	1330
57	80	1310
58	81	1292
59	81	1274
60	81	1256
61	81	1239
62	82	1223
63	82	1207
64	82	1192
65	83	1177
66	83	1164
67	83	1149
68	84	1137
69	84	1123
70	84	1110
71	85	1100
72	85	1088
73	85	1075
74	86	1064
75	86	1053
76	87	1042
77	87	1032
78	87	1021
79	87	1011
80	88	1001
81	88	991
82	88	982
83	89	975
84	89	965
85	90	957
86	90	946
87	90	938
88	90	930
89	91	921
90	91	914
91	92	908
92	92	900
93	92	894
94	93	887
95	93	881
96	94	875
97	94	868
98	94	862
99	95	856
100	95	849
101	95	841
102	95	835
103	96	830
104	96	824
105	97	818
106	97	813
107	97	808
108	98	803
109	98	799
110	99	794
111	99	788
112	99	783
113	100	778
114	100	773
115	100	767
116	100	762
117	101	757
118	101	752
119	101	747
120	102	742
121	102	739
122	102	733
123	103	728
124	103	725
125	103	721
126	104	717
127	104	711
128	104	707
129	105	703
130	105	699
131	105	695
132	106	691
133	106	687
134	106	683
135	107	679
136	107	676
137	107	671
138	107	667
139	108	665
140	108	662
141	109	659
142	109	656
143	109	653
144	110	649
145	110	646
146	110	642
147	111	639
148	111	636
149	111	633
150	112	630
151	112	626
152	112	623
153	112	620
154	113	617
155	113	614
156	113	611
157	114	608
158	114	605
159	114	603
160	115	600
161	115	598
162	116	595
163	116	593
164	116	590
165	117	588
166	117	585
167	117	583
168	118	580
169	118	577
170	118	575
171	118	572
172	119	569
173	119	567
174	119	564
175	120	562
176	120	560
177	120	558
178	121	556
179	121	553
180	121	550
181	122	549
182	122	547
183	122	545
184	123	543
185	123	541
186	123	538
187	124	536
188	124	535
189	125	533
190	125	531
191	125	529
192	126	527
193	126	525
194	126	522
195	126	520
196	127	518
197	127	516
198	127	514
199	128	513
200	128	511
201	128	509
202	129	507
203	129	505
204	129	503
205	130	502
206	130	500
207	130	498
208	131	496
209	131	494
210	131	492
211	132	490
212	132	489
213	132	487
214	132	485
215	133	483
216	133	482
217	134	481
218	134	479
219	134	478
220	135	476
221	135	475
222	135	473
223	136	472
224	136	470
225	136	468
226	137	467
227	137	465
228	137	463
229	138	462
230	138	461
231	138	459
232	139	458
233	139	456
234	139	455
235	140	454
236	140	452
237	140	451
238	141	449
239	141	448
240	141	446
241	142	445
242	142	443
243	142	442
244	143	440
245	143	439
246	143	438
247	144	437
248	144	435
249	144	434
250	145	433
251	145	432
252	145	430
253	146	429
254	146	428
255	146	426
256	147	425
257	147	424
258	147	422
259	148	421
260	148	420
261	148	418
262	148	417
263	149	416
264	149	415
265	150	413
266	150	412
267	150	411
268	150	410
269	151	409
270	151	407
271	151	406
272	152	405
273	152	404
274	152	403
275	153	402
276	153	400
277	153	399
278	154	398
279	154	397
280	155	396
281	155	395
282	155	394
283	156	393
284	156	392
285	156	390
286	157	390
287	157	389
288	157	388
289	158	387
290	158	386
291	158	384
292	159	384
293	159	383
294	159	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	162	376
301	162	375
302	162	374
303	163	373
304	163	373
305	164	372
306	164	370
307	164	369
308	164	368
309	165	367
310	165	366
311	166	366
312	166	365
313	166	363
314	166	363
315	167	361
316	167	360
317	167	359
318	168	358
319	168	357
320	168	356
321	168	355
322	169	354
323	169	353
324	169	352
325	170	351
326	170	350
327	170	349
328	170	348
329	171	347
330	171	346
331	171	345
332	171	344
333	172	343
334	172	342
335	172	341
336	172	340
337	173	339
338	173	338
339	173	337
340	174	336
341	174	335
342	174	334
343	174	333
344	175	332
345	175	331
346	175	330
347	175	329
348	176	328
349	176	327
350	176	326
351	176	325
352	177	324
353	177	323
354	177	322
355	177	321
356	178	320
357	178	319
358	178	318
359	178	318
360	179	317
361	179	316
362	179	315
363	179	314
364	180	313
365	180	312
366	180	311
367	180	310
368	181	309
369	181	308
370	181	308
371	181	307
372	182	306
373	182	305
374	182	304
375	182	303
376	183	302
377	183	301
378	183	301
379	183	300
380	184	299
381	184	298
382	184	297
383	185	296
384	185	295
385	185	295
386	185	294
387	186	293
388	186	292
389	186	291
390	186	291
391	187	290
392	187	289
393	187	288
394	187	287
395	188	287
396	188	286
397	188	285
398	189	284
399	189	284
400	189	283
401	189	282
402	190	281
403	190	280
404	190	280
405	190	279
406	191	278
407	191	277
408	191	276
409	191	276
410	192	275
411	192	274
412	192	273
413	192	273
414	193	272
415	193	271
416	193	270
417	194	270
418	194	269
419	194	268
420	194	267
421	195	267
422	195	266
423	195	265
424	195	264
425	196	264
426	196	263
427	196	262
428	196	262
429	197	261
430	197	260
431	197	259
432	197	259
433	198	258
434	198	257
435	198	257
436	198	256
437	199	255
438	199	254
439	199	254
440	199	253
441	200	252
442	200	252
443	200	251
444	201	250
445	201	249
446	201	249
447	201	248
448	202	248
449	202	247
450	202	246
451	202	246
452	203	245
453	203	244
454	203	243
455	203	243
456	204	242
457	204	242
458	204	241
459	205	240
460	205	240
461	205	239
462	205	238
463	206	238
464	206	237
465	206	236
466	206	236
467	207	235
468	207	234
469	207	234
470	207	233
471	208	232
472	208	232
473	208	231
474	209	231
475	209	230
476	209	229
477	209	229
478	210	228
479	210	227
480	210	227
481	210	226
482	211	225
483	211	225
484	211	224
485	211	224
486	212	223
487	212	222
488	212	222
489	212	221
490	213	221
491	213	220
492	213	219
493	214	219
494	214	218
495	214	217
496	214	217
497	215	216
498	215	216
499	215	215
500	215	215
501	216	214
502	216	213
503	216	213
504	216	212
505	217	212
506	217	211
507	217	210
508	218	210
509	218	209
510	218	209
511	218	208
512	219	208
513	219	207
514	219	207
515	220	206
516	220	205
517	220	205
518	221	204
519	221	204
520	221	203
521	221	203
522	222	202
523	222	201
524	222	201
525	222	200
526	223	200
527	223	199
528	223	199
529	223	198
530	224	198
531	224	197
532	224	196
533	224	196
534	225	195
535	225	195
536	225	194
537	226	194
538	226	193
539	226	192
540	226	192
541	227	191
542	227	191
543	227	190
544	227	190
545	228	189
546	228	189
547	228	188
548	228	188
549	229	187
550	229	186
551	229	186
552	229	185
553	230	185
554	230	184
555	230	184
556	230	183
557	231	183
558	231	182
559	231	182
560	232	181
561	232	181
562	232	180
563	232	179
564	233	179
565	233	178
566	233	178
567	233	177
568	234	177
569	234	176
570	234	176
571	235	175
572	235	175
573	235	174
574	235	174
575	236	173
576	236	173
577	236	172
578	236	172
579	237	171
580	237	171
581	237	170
582	237	170
583	238	169
584	238	169
585	238	168
586	239	168
587	239	167
588	239	167
589	239	166
590	240	166
591	240	165
592	240	165
593	240	164
594	241	164
595	241	163
596	241	163
597	241	162
598	242	162
599	242	161
600	242	161
601	242	160
602	243	160
603	243	159
604	243	159
605	244	158
606	244	158
607	244	157
608	244	157
609	245	156
610	245	156
611	245	155
612	245	155
613	246	154
614	246	154
615	246	153
616	246	153
617	247	152
618	247	152
619	247	151
620	247	151
621	248	150
622	248	150
623	248	149
624	249	149
625	249	148
626	249	148
627	249	147
628	250	147
629	250	147
630	250	146
631	250	146
632	251	145
633	251	145
634	251	144
635	252	144
636	252	143
637	252	143
638	252	142
639	253	142
640	253	141
641	253	141
642	253	140
643	254	140
644	254	140
645	254	139
646	255	139
647	255	138
648	255	138
649	255	137
650	256	137
651	256	136
652	256	136
653	256	135
654	257	135
655	257	134
656	257	134
657	257	134
658	258	133
659	258	133
660	258	132
661	258	132
662	259	131
663	259	131
664	259	130
665	260	130
666	260	129
667	260	129
668	260	129
669	261	128
670	261	128
671	261	127
672	261	127
673	262	126
674	262	126
675	262	125
676	263	125
677	263	125
678	263	124
679	263	124
680	264	123
681	264	123
682	264	122
683	264	122
684	265	121
685	265	121
686	265	121
687	266	120
688	266	120
689	266	119
690	266	119
691	267	118
692	267	118
693	267	118
694	267	117
695	268	117
696	268	116
697	268	116
698	268	115
699	269	115
700	269	114
701	269	114
702	270	114
703	270	113
704	270	113
705	270	112
706	270	112
707	271	111
708	271	111
709	271	111
710	272	110
711	272	110
712	272	109
713	272	109
714	273	108
715	273	108
716	273	108
717	274	107
718	274	107
719	275	106
720	275	106
721	275	106
722	276	105
723	276	105
724	276	104
725	277	104
726	277	104
727	277	103
728	277	103
729	278	102
730	278	102
731	278	102
732	278	101
733	279	101
734	279	100
735	279	100
736	279	99
737	280	99
738	280	99
739	280	98
740	280	98
741	281	97
742	281	97
743	281	96
744	282	96
745	282	96
746	282	95
747	282	95
748	283	94
749	283	94
750	283	94
751	283	93
752	284	93
753	284	92
754	284	92
755	285	92
756	285	91
757	285	91
758	285	90
759	286	90
760	286	89
761	286	89
762	287	89
763	287	88
764	287	88
765	287	87
766	288	87
767	288	87
768	288	86
769	288	86
770	289	85
771	289	85
772	289	85
773	289	84
774	290	84
775	290	83
776	290	83
777	290	83
778	291	82
779	291	82
780	291	81
781	291	81
782	292	80
783	292	80
784	292	80
785	292	79
786	293	79
787	293	78
788	293	78
789	294	78
790	294	77
791	294	77
792	294	76
793	295	76
794	295	76
795	295	75
796	296	75
797	296	74
798	296	74
799	296	74
800	297	73
801	297	73
802	297	73
803	297	72
804	298	72
805	298	71
806	298	71
807	298	71
808	299	70
809	299	70
810	299	69
811	299	69
812	300	69
813	300	68
814	300	68
815	300	67
816	301	67
817	301	67
818	301	66
819	301	66
820	302	65
821	302	65
822	302	65
823	302	64
824	303	64
825	303	63
826	303	63
827	304	63
828	304	62
829	304	62
830	304	61
831	305	61
832	305	61
833	305	60
834	305	60
835	306	60
836	306	59
837	306	59
838	306	58
839	307	58
840	307	58
841	307	57
842	308	57
843	308	56
844	308	56
845	308	56
846	309	55
847	309	55
848	309	55
849	309	54
850	310	54
851	310	53
852	310	53
853	310	53
854	311	52
855	311	52
856	311	52
857	311	51
858	312	51
859	312	50
860	312	50
861	313	50
862	313	49
863	313	49
864	313	48
865	314	48
866	314	48
867	314	47
868	314	47
869	315	47
870	315	46
871	315	46
872	315	45
873	316	45
874	316	45
875	316	44
876	316	44
877	317	44
878	317	43
879	317	43
880	317	42
881	318	42
882	318	42
883	318	41
884	319	41
885	319	41
886	319	40
887	319	40
888	320	39
889	320	39
890	320	39
891	320	38
892	321	38
893	321	38
894	321	37
895	321	37
896	322	37
897	322	36
898	322	36
899	323	35
900	323	35
901	323	35
902	323	34
903	324	34
904	324	34
905	324	33
906	324	33
907	325	32
908	325	32
909	325	32
910	325	31
911	326	31
912	326	31
913	326	30
914	327	30
915	327	30
916	327	29
917	327	29
918	328	28
919	328	28
920	328	28
921	328	27
922	329	27
923	329	27
924	329	26
925	330	26
926	330	26
927	330	25
928	330	25
929	331	24
930	331	24
931	331	24
932	331	23
933	332	23
934	332	23
935	332	22
936	332	22
937	333	22
938	333	21
939	333	21
940	333	20
941	334	20
942	334	20
943	334	19
944	334	19
945	335	19
946	335	18
947	335	18
948	335	18
949	336	17
950	336	17
951	336	16
952	336	16
953	337	16
954	337	15
955	337	15
956	338	15
957	338	14
958	338	14
959	338	14
960	339	13
961	339	13
962	339	13
963	339	12
964	340	12
965	340	11
966	340	11
967	340	11
968	341	10
969	341	10
970	341	10
971	342	9
972	342	9
973	342	9
974	342	8
975	343	8
976	343	8
977	343	7
978	343	7
979	344	7
980	344	6
981	344	6
982	345	5
983	345	5
984	345	5
985	345	4
986	346	4
987	346	4
988	346	3
989	346	3
990	347	3
991	347	2
992	347	2
993	347	2
994	348	1
995	348	1
996	348	1
997	349	0
998	349	0
999	349	0
